,,,,,,,
,,,,,,,
,Nama,Lepas Kunci,Dropoff,10 Jam,Layanan 12 Jam,Fullday,Bulanan
,Sewa Innova Reborn Zenix,550000,450000,800000,850000,1000000,14000000
,Sewa Sigra,250.000,250000,500000,550.000,650.000,5.000.000
,Sewa Calya,250.000,250000,500000,550.000,650000,5.000.000
,Sewa Elf isuzu long giga,1000000,800000,1300000,1350000,1400000,20000000
,Sewa BusMini Pariwisata Bis,Hubungi Kami,1200000,1500000,1600000,1700000,24000000
,Sewa Fortuner,850.000,1200000,1500000,1600000,1800000,24000000
,Sewa Pajero,850.000,1200000,1500000,1600000,1800000,24000000
,Sewa DoubleCabin Hilux Triton Bulanan,850.000,1200000,1500000,1600000,1800000,24000000
,Sewa Bus Pariwisata Harga Bis Murah,Hubungi Kami,1500000,1800000,1900000,2000000,38000000
,Sewa Pickup,250000,250000,500000,550000,650000,5000000
,Sewa Box,550000,450000,800000,850000,1000000,14000000
,Sewa Weddingcar,Hubungi Kami,1500000,1800000,1900000,2000000,Hubungi Kami
,Sewa Sprinter Mercy,4000000,3500000,4500000,5000000,5500000,80000000
,Sewa Avanza,300000,450000,600000,650000,700000,6000000
,Sewa Xenia,300000,450000,600000,600000,700000,6000000
,Sewa Xpander,450000,500000,650000,750000,850000,9000000
,Sewa Truck,Hubungi Kami,1200000,1500000,1600000,1700000,24000000
,Sewa Camry,850000,1200000,1500000,1600000,1800000,24000000
,Sewa LandCruiser,8000000,6500000,8250000,8500000,9000000,104000000
,Sewa Alphard,2000000,1500000,1800000,1900000,2000000,38000000
,Sewa Bus-VIP Bis,Hubungi Kami,3500000,4500000,5000000,5500000,80000000
,Sewa Hiace Premio Commuter,1000000,800000,1300000,1350000,1400000,20000000
,Sewa blindvan,550000,450000,800000,850000,1000000,14000000
,Sewa Mobil-Mewah,4000000,3500000,4500000,5000000,5500000,80000000
,Sewa Palisade,2000000,1500000,1800000,1900000,2000000,38000000
,Sewa Mercy BMW,4000000,3500000,4500000,5000000,5500000,80000000